iter	MultiClass
0	1.612568938
1	1.458564885
2	1.335075854
3	1.235714921
4	1.157570262
5	1.082621241
6	1.017026987
7	0.9481583852
8	0.9012521691
9	0.8567969246
10	0.8112240884
11	0.7751064859
12	0.7422057768
13	0.7146501887
14	0.6836904352
15	0.6562814271
16	0.6232000818
17	0.6038951239
18	0.5889376244
19	0.5745936364
20	0.5566283786
21	0.5419353963
22	0.5234639904
23	0.5120230255
24	0.4973600457
25	0.491812225
26	0.4760962664
27	0.4641503732
28	0.4528819996
29	0.4431723703
30	0.4346663391
31	0.4257141646
32	0.4128123677
33	0.4089403237
34	0.4026105697
35	0.3936199775
36	0.3845661488
37	0.3804281846
38	0.3724748799
39	0.3623668788
40	0.3570995883
41	0.3509111337
42	0.3442472325
43	0.3382242132
44	0.3325955934
45	0.3293906733
46	0.3230388997
47	0.3193805054
48	0.3162411875
49	0.3115743729
50	0.3060587615
51	0.3010773823
52	0.2990299912
53	0.2949910728
54	0.2891374405
55	0.2859234907
56	0.282661486
57	0.2783436268
58	0.2735357161
59	0.2696056109
60	0.2660798108
61	0.2640001609
62	0.2610904185
63	0.2573175246
64	0.2559999359
65	0.2515597226
66	0.2479266544
67	0.2453709742
68	0.2428562141
69	0.2395133397
70	0.2364138188
71	0.2333548007
72	0.2301160233
73	0.2277560285
74	0.225567241
75	0.223482075
76	0.2208071611
77	0.2189594095
78	0.2164620454
79	0.2142307161
80	0.2125334277
81	0.2104871333
82	0.2078792359
83	0.2068099839
84	0.2040811975
85	0.2031892659
86	0.2002353464
87	0.19825319
88	0.1966999499
89	0.1947512101
90	0.1933964274
91	0.1915298263
92	0.1889586439
93	0.1875061948
94	0.1854865196
95	0.1837788034
96	0.1818578953
97	0.1799686097
98	0.178983053
99	0.1768022875
100	0.1752446306
101	0.1730922847
102	0.1707107578
103	0.1689878274
104	0.1673941276
105	0.1652510639
106	0.1637381412
107	0.1628447555
108	0.1617937635
109	0.160191204
110	0.1585668376
111	0.1573276455
112	0.1560558046
113	0.1543378433
114	0.1528555003
115	0.1512728002
116	0.1496134526
117	0.148439506
118	0.1472717644
119	0.1453612713
120	0.1446643411
121	0.1427022823
122	0.1419432939
123	0.140305931
124	0.1395515262
125	0.1380463127
126	0.1371635814
127	0.1362365094
128	0.1350982347
129	0.1338097711
130	0.1329693584
131	0.1318137709
132	0.130934715
133	0.1295890976
134	0.1283334114
135	0.1265299785
136	0.1254252103
137	0.1244951858
138	0.1235506661
139	0.1224835673
140	0.1214050314
141	0.1205472744
142	0.1191289653
143	0.1181893358
144	0.1170747865
145	0.1161714979
146	0.114869073
147	0.1138198896
148	0.1128286888
149	0.1119020693
150	0.1107744572
151	0.1097121823
152	0.108698805
153	0.1076895427
154	0.1067077329
155	0.1058202789
156	0.1048584639
157	0.1041225773
158	0.1030347298
159	0.1024398526
160	0.1017139916
161	0.1011892693
162	0.1000703954
163	0.09955831839
164	0.09875393269
165	0.09810552932
166	0.09735646701
167	0.09635527841
168	0.09566419767
169	0.09484996103
170	0.09408078543
171	0.09344736841
172	0.09286722252
173	0.09237288189
174	0.09189687131
175	0.09129381349
176	0.09067927759
177	0.09006645996
178	0.08936495464
179	0.08897742904
180	0.08840909024
181	0.08801118298
182	0.08748551602
183	0.08707072588
184	0.08645694736
185	0.08587590832
186	0.08536513873
187	0.08479604828
188	0.08450737889
189	0.08399985587
190	0.08343996634
191	0.08290442121
192	0.08244005695
193	0.08193817471
194	0.08157514226
195	0.08119197196
196	0.08056520812
197	0.08015430409
198	0.07994248183
199	0.07956589572
